dff,demixed,raw,neuropil_corrected,events,plane,col,volume,roi
"[ 0.24731265  0.30104607  0.3956327  ...  0.06430514 -0.01367592
  0.1820864 ]",[325.14136 350.9774  386.4656  ... 277.05164 263.74292 293.0137 ],[327.23044 354.84363 389.214   ... 279.23868 265.99588 295.1646 ],[285.14545 315.97455 343.5375  ... 241.31792 225.29475 258.2708 ],[0.         0.         0.         ... 0.         0.02785716 0.        ],0,1,5,0
[0.25542    0.19205041 0.04985673 ... 0.17794044 0.13773651 0.13249646],[274.96048 274.45456 257.35178 ... 285.8735  277.64032 272.23322],[274.96048 274.45456 257.35178 ... 285.8735  277.64032 272.23322],[219.51895 219.1881  198.53853 ... 233.19989 222.75262 214.68332],[0. 0. 0. ... 0. 0. 0.],0,1,5,1
[0.28504384 0.16517459 0.1411496  ... 0.27365088 0.         0.12517335],[298.97977 278.5208  281.70367 ... 301.05087 243.8703  256.73618],[304.8596  287.7915  285.74893 ... 305.18723 249.14894 261.24255],[258.1573  237.41359 239.52016 ... 260.76755 204.13358 212.88876],[0. 0. 0. ... 0. 0. 0.],0,1,5,2
[0.4600244  0.52492607 0.34933227 ... 0.17325643 0.21720749 0.25766635],[330.7659  356.9791  327.08606 ... 275.5224  281.71494 267.04895],[363.8616  383.54672 365.5986  ... 304.8097  313.62283 298.20068],[315.7568  334.6526  316.12265 ... 259.06384 267.41306 254.19206],[0. 0. 0. ... 0. 0. 0.],0,1,5,3
"[ 0.1826776   0.32964945  0.20452109 ...  0.31359556 -0.01781045
  0.29466206]",[209.54703 238.16037 223.60037 ... 255.57768 206.90479 248.17885],[245.40541 284.0811  270.22296 ... 311.22296 242.45946 276.31082],[207.61841 244.1661  226.30846 ... 274.1223  202.4814  235.49681],[0.         0.         0.         ... 0.         0.03334289 0.        ],0,1,5,4
[1.0483797  0.8363897  0.9571517  ... 0.09652217 0.36366066 0.11507146],[524.6139  468.97534 508.5858  ... 300.70612 336.16037 269.49835],[564.5852  515.7203  550.38586 ... 327.55627 367.92926 302.8939 ],[533.1317  482.6701  512.9574  ... 296.10602 340.17844 275.65182],[0.         0.         0.06016642 ... 0.0372672  0.         0.        ],0,1,5,5
[0.30687293 0.2136712  0.18855439 ... 0.06823588 0.01280129 0.09194671],[331.5595  336.50793 341.85318 ... 306.62302 292.61905 305.3135 ],[331.5595  336.50793 341.85318 ... 306.62302 292.61905 305.3135 ],[280.52917 286.47815 289.47452 ... 258.61133 246.04018 257.81473],[0. 0. 0. ... 0. 0. 0.],0,1,5,6
[0.06774127 0.08980399 0.10780364 ... 0.05262365 0.11534966 0.10037576],[268.8783  275.4441  281.26974 ... 253.76645 264.4671  242.19737],[268.8783  275.4441  281.26974 ... 253.76645 264.4671  242.19737],[236.58243 244.65985 249.46689 ... 223.71497 233.57404 213.35358],[0.         0.         0.03117046 ... 0.02208965 0.         0.        ],0,1,5,7
[0.         0.         0.18104598 ... 0.         0.28699735 0.12075688],[265.3626  275.24045 317.0916  ... 263.67938 310.17175 266.0878 ],[265.3626  275.24045 317.0916  ... 263.67938 310.17175 266.0878 ],[206.18839 218.63214 256.00812 ... 208.67036 255.53629 213.15141],[0.         0.         0.05382052 ... 0.03925747 0.         0.        ],0,1,5,8
[0.         0.1518877  0.01499747 ... 0.13774762 0.08959476 0.08582339],[243.13438 287.91306 267.66403 ... 254.96443 243.37944 229.2253 ],[243.13438 287.91306 267.66403 ... 254.96443 243.37944 229.2253 ],[191.86865 235.90631 211.7354  ... 205.55675 195.19669 178.68462],[0. 0. 0. ... 0. 0. 0.],0,1,5,9
[0.44073772 0.19830614 0.08493569 ... 0.02963397 0.4055541  0.11528173],[224.10059 181.97244 177.22221 ... 143.5323  188.04851 134.27238],[399.36407 351.4709  343.9369  ... 281.34467 340.7039  282.84952],[339.66602 293.3584  279.40768 ... 230.31941 290.00348 233.28462],[0.         0.         0.         ... 0.03759598 0.         0.        ],0,1,5,10
[0.16853625 0.10550253 0.1296572  ... 0.10740352 0.2212235  0.08376514],[235.15866 221.19722 241.60619 ... 229.4352  244.37459 219.0263 ],[272.26523 264.06958 277.51303 ... 258.7913  279.3739  249.96521],[235.34473 227.48727 239.79292 ... 225.83673 245.18811 213.87898],[0.         0.         0.         ... 0.02032064 0.         0.        ],0,1,5,11
[0.14855236 0.05816232 0.42477608 ... 0.05678648 0.22680935 0.06457998],[278.33575 268.1674  355.00107 ... 289.3885  311.6065  265.77835],[284.13943 274.76495 361.50198 ... 294.5259  318.66135 270.25497],[230.80464 222.25934 303.65704 ... 243.58496 268.81134 219.71844],[0.         0.02837625 0.         ... 0.0243214  0.         0.        ],0,1,5,12
[0.3302842  0.06182588 0.13787009 ... 0.11856839 0.11131193 0.18692273],[293.34818 252.4795  280.33887 ... 261.27283 261.35626 263.90778],[312.72586 267.162   293.67603 ... 273.33957 272.02182 283.8162 ],[278.2566  234.50644 258.67062 ... 240.85783 239.2259  252.47473],[0. 0. 0. ... 0. 0. 0.],0,1,5,13
[0.2564184  0.22065823 0.31323645 ... 0.4578528  0.28310168 0.18764728],[234.97694 241.8047  243.627   ... 186.55028 183.01247 163.32419],[374.74106 372.46875 402.4777  ... 374.37054 332.7902  309.08035],[304.03513 301.60764 328.73294 ... 310.01425 266.67743 243.51263],[0. 0. 0. ... 0. 0. 0.],0,1,5,14
[0.1657519  0.02758761 0.05555086 ... 0.13854633 0.09559937 0.1052964 ],[244.45451 230.07422 226.79333 ... 228.66272 232.15718 218.78581],[306.97156 285.46445 295.7962  ... 298.41705 285.81042 270.67773],[274.0206  252.58667 260.26886 ... 265.23758 251.91963 236.93448],[0. 0. 0. ... 0. 0. 0.],0,1,5,15
