dff,demixed,raw,neuropil_corrected,events,plane,col,volume,roi
[0.14698188 0.31882825 0.18976451 ... 0.29894197 0.13266294 0.14249772],[275.7843  331.65195 318.37256 ... 318.5343  280.2843  279.36273],[275.7843  331.65195 318.37256 ... 318.5343  280.2843  279.36273],[229.15634 287.66058 269.6731  ... 271.29654 236.86908 236.03966],[0. 0. 0. ... 0. 0. 0.],0,1,5,16
[0.13519202 0.19147828 0.09791795 ... 0.08494736 0.10099303 0.06706935],[282.00955 302.43948 304.00638 ... 275.3758  275.2261  266.293  ],[282.00955 302.43948 304.00638 ... 275.3758  275.2261  266.293  ],[237.65775 263.1981  260.41275 ... 234.22513 236.42175 226.70987],[0. 0. 0. ... 0. 0. 0.],0,1,5,17
[0.6400664  0.22092675 0.24172586 ... 0.05258529 0.28307366 0.2010425 ],[378.58066 311.59448 333.1705  ... 287.35944 311.4009  289.32257],[378.58066 311.59448 333.1705  ... 287.35944 311.4009  289.32257],[305.87753 239.58653 258.60904 ... 221.51942 245.04489 227.22075],[0.         0.         0.         ... 0.02663846 0.         0.        ],0,1,5,18
[0.31498474 0.         0.13964763 ... 0.01617022 0.24824497 0.19748779],[265.7917  216.28001 247.8123  ... 206.93315 225.15253 223.34964],[317.18182 267.37878 299.71213 ... 252.15152 291.80682 267.49243],[275.9801  226.9891  259.38333 ... 212.56287 252.79646 228.30075],[0.         0.         0.         ... 0.02795673 0.         0.        ],0,1,5,19
[0.18845895 0.00898215 0.08849347 ... 0.46026078 0.21783543 0.19094029],[256.0579  249.87895 265.66843 ... 310.49475 261.8     256.3737 ],[256.0579  249.87895 265.66843 ... 310.49475 261.8     256.3737 ],[200.69084 195.08495 210.32922 ... 257.15778 211.56761 204.67516],[0. 0. 0. ... 0. 0. 0.],0,1,5,20
[0.         0.09519801 0.26365882 ... 0.036236   0.08531334 0.04988078],[248.97643 281.5614  330.97177 ... 262.02258 269.37976 249.59471],[255.76279 293.2907  335.47443 ... 268.01163 273.32092 253.19534],[220.28586 258.43057 298.62277 ... 233.8005  240.7605  219.64232],[0.         0.02680585 0.         ... 0.         0.         0.        ],0,1,5,21
[0.15627325 0.13762908 0.07369115 ... 0.22234961 0.12125879 0.00823111],[281.90277 292.58118 293.4907  ... 312.8592  282.94662 256.22165],[283.8662  294.41806 295.91306 ... 314.86957 284.83276 258.01004],[237.39339 246.41846 246.3149  ... 269.01913 241.0513  211.76677],[0. 0. 0. ... 0. 0. 0.],0,1,5,22
[0.2201443  0.         0.12068393 ... 0.         0.25579885 0.23799793],[306.90054 268.1999  306.0957  ... 246.4393  296.0763  281.54932],[308.5746  270.38675 307.779   ... 250.33702 297.779   283.16574],[248.93646 214.45163 245.82983 ... 196.75288 244.55066 232.31029],[0.         0.         0.         ... 0.03576458 0.         0.        ],0,1,5,23
"[ 0.44101766  0.0596793  -0.03078444 ...  0.03685844  0.13281952
  0.24766439]",[357.7594  291.7293  284.43985 ... 260.8346  268.70676 281.8045 ],[357.7594  291.7293  284.43985 ... 260.8346  268.70676 281.8045 ],[291.92636 226.99959 219.2509  ... 196.68837 206.84576 217.9771 ],[0.         0.         0.         ... 0.         0.03958682 0.        ],0,1,5,24
"[ 0.29827136  0.06541267  0.01759388 ... -0.03571261  0.00679136
  0.23133142]",[247.47935 231.8584  233.98116 ... 215.44057 222.57864 247.4431 ],[304.09592 284.22675 289.75    ... 264.97675 269.5     295.77036],[249.11795 228.07948 233.24306 ... 214.00177 221.77608 242.87685],[0.         0.         0.         ... 0.         0.03321126 0.        ],0,1,5,25
"[ 0.37868264  0.26491594  0.21774854 ... -0.00559521  0.06306828
  0.25520143]",[308.6164  301.59515 295.84323 ... 240.339   250.81572 279.49188],[310.61905 304.06595 297.9011  ... 242.3956  252.84248 281.61172],[273.9638  265.0944  258.8448  ... 207.10312 216.8724  245.33731],[0.         0.         0.         ... 0.         0.04105799 0.        ],0,1,5,26
[0.31048134 0.23225251 0.209799   ... 0.04574157 0.         0.08176608],[305.93042 290.88803 293.38687 ... 259.29916 247.59053 256.5617 ],[316.8127  304.327   306.13968 ... 267.73016 257.1238  267.7365 ],[269.80612 259.70197 258.57135 ... 225.67606 213.91783 225.8077 ],[0. 0. 0. ... 0. 0. 0.],0,1,5,27
[0.23019852 0.10971367 0.1126686  ... 0.         0.10760389 0.15524559],[321.87775 309.29468 315.90594 ... 261.73355 279.96237 279.7743 ],[321.87775 309.29468 315.90594 ... 261.73355 279.96237 279.7743 ],[271.15958 257.3858  262.01276 ... 213.81232 229.69186 229.87291],[0.         0.         0.         ... 0.         0.01780579 0.        ],0,1,5,28
[0.00457642 0.05737932 0.09989496 ... 0.07783418 0.20878415 0.16206808],[234.17735 242.24483 250.24802 ... 234.77466 256.77914 231.2657 ],[252.19048 264.60544 277.56464 ... 253.77211 278.06802 251.48639],[222.6022  237.70734 249.76909 ... 227.39099 250.0212  224.3373 ],[0.         0.         0.         ... 0.03703588 0.         0.        ],0,1,5,29
[0.23349082 0.17461121 0.2797219  ... 0.08496983 0.         0.0550159 ],[311.20197 319.50162 349.61237 ... 292.29315 263.86646 264.56027],[311.20197 319.50162 349.61237 ... 292.29315 263.86646 264.56027],[252.08742 260.9249  281.04123 ... 232.77464 207.9563  208.31926],[0. 0. 0. ... 0. 0. 0.],0,1,5,30
[0.16794279 0.14698994 0.24530144 ... 0.03017497 0.24350664 0.26391307],[275.15448 280.1424  294.13632 ... 243.26337 271.63022 268.20786],[286.12842 288.28415 306.1175  ... 252.44263 280.09015 278.6202 ],[235.64995 235.23312 253.78168 ... 204.49153 229.16832 228.92625],[0.         0.         0.         ... 0.04574223 0.         0.        ],0,1,5,31
[0.15451533 0.12312844 0.14330664 ... 0.11297198 0.11506122 0.15838525],[296.44693 291.9916  299.12012 ... 274.22626 271.66202 275.9581 ],[296.44693 291.9916  299.12012 ... 274.22626 271.66202 275.9581 ],[249.06065 243.9334  249.29466 ... 228.01419 225.58498 230.15147],[0. 0. 0. ... 0. 0. 0.],0,1,5,32
[0.3825885  0.19064897 0.18454623 ... 0.1514465  0.34883988 0.3360556 ],[335.59686 300.0306  301.59845 ... 283.1281  301.65042 297.92627],[343.48755 314.66193 314.11743 ... 297.29538 313.36655 305.73666],[297.1529  267.19904 267.99704 ... 255.47305 271.02832 265.11084],[0.         0.         0.         ... 0.03802608 0.         0.        ],0,1,5,33
[0.29509237 0.35411102 0.6218041  ... 0.04821224 0.09947118 0.14743073],[301.09702 324.45926 389.7225  ... 257.21185 264.95053 260.80237],[333.70343 358.5095  426.92017 ... 278.55515 285.71484 289.46387],[278.47766 305.13315 363.83356 ... 225.56097 228.61693 232.25012],[0. 0. 0. ... 0. 0. 0.],0,1,5,34
"[ 0.0762995   0.02053099  0.03786203 ...  0.0996365  -0.02466884
  0.04351714]",[252.25188 251.97745 262.0752  ... 281.4737  257.30075 247.97368],[252.25188 251.97745 262.0752  ... 281.4737  257.30075 247.97368],[201.88953 200.91154 208.99074 ... 230.40604 207.06596 197.41469],[0. 0. 0. ... 0. 0. 0.],0,1,5,35
[0.05823527 0.11603343 0.35792637 ... 0.01454635 0.2142893  0.07318139],[293.66745 320.7261  378.13025 ... 295.69257 336.48904 307.0946 ],[309.44852 334.6103  393.18137 ... 312.3407  348.39215 321.79166],[243.47198 273.54996 326.97092 ... 252.71228 293.8414  263.56226],[0.         0.03630176 0.         ... 0.         0.         0.        ],0,1,5,36
[0.17399284 0.15363142 0.3309797  ... 0.08036823 0.09851678 0.13829061],[262.9306  271.33542 324.00604 ... 256.20667 256.88232 264.39072],[266.11505 272.18585 324.79202 ... 257.0177  257.66815 265.1416 ],[225.20023 230.15903 280.29242 ... 216.19043 219.29305 223.97644],[0.         0.         0.         ... 0.02525874 0.         0.        ],0,1,5,37
[0.2563493  0.28226525 0.16617852 ... 0.13874693 0.39611208 0.18159644],[301.53177 317.1572  301.23746 ... 279.62543 312.01004 264.5184 ],[301.53177 317.1572  301.23746 ... 279.62543 312.01004 264.5184 ],[242.61147 260.1612  240.70155 ... 224.4689  257.19446 209.128  ],[0.         0.         0.         ... 0.04970331 0.         0.        ],0,1,5,38
[0.21978852 0.33551028 0.15171787 ... 0.19831806 0.18948115 0.2444155 ],[312.39474 339.1579  310.6842  ... 294.39474 281.75    278.3816 ],[312.39474 339.1579  310.6842  ... 294.39474 281.75    278.3816 ],[235.03717 258.69427 231.28694 ... 221.9256  209.09462 206.55093],[0. 0. 0. ... 0. 0. 0.],0,1,5,39
[0.23630542 0.11897864 0.16171844 ... 0.2551687  0.04690467 0.10601824],[290.9189  269.9516  279.2288  ... 276.24768 240.32593 258.28955],[321.7411  305.70227 317.1521  ... 315.97412 270.33658 285.56635],[271.92905 257.0254  267.23083 ... 271.41547 226.52498 237.59114],[0. 0. 0. ... 0. 0. 0.],0,1,5,40
[0.15527904 0.32036766 0.33510354 ... 0.11168207 0.20326012 0.24647318],[308.0766  343.88257 348.42245 ... 293.31256 314.6385  304.82965],[329.54642 363.27142 376.35358 ... 314.675   330.85715 332.29642],[272.1047  306.76202 310.8204  ... 261.15698 278.68625 279.68164],[0.         0.         0.         ... 0.         0.02449586 0.        ],0,1,5,41
"[ 0.26134092  0.16680725  0.2523578  ... -0.09168256  0.14547578
  0.10856125]",[267.50015 265.617   272.10583 ... 196.38525 232.53322 210.81265],[290.625   281.25568 297.46024 ... 211.47159 249.58522 229.51137],[248.24255 239.66966 255.21844 ... 172.22282 209.71712 190.91954],[0. 0. 0. ... 0. 0. 0.],0,1,5,42
"[ 0.23696117 -0.01039563  0.06667485 ...  0.00958633  0.0960826
  0.00285892]",[280.05902 236.67392 266.31366 ... 241.28572 257.2236  232.39752],[280.05902 236.67392 266.31366 ... 241.28572 257.2236  232.39752],[239.65744 196.39699 224.17336 ... 203.94792 218.68991 194.2713 ],[0. 0. 0. ... 0. 0. 0.],0,1,5,43
[0.5262686  0.31337473 0.56852835 ... 0.02765482 0.03420138 0.16409406],[357.76373 330.4974  386.7998  ... 255.66234 246.04128 269.7309 ],[362.49817 341.3773  396.9414  ... 260.12088 254.9011  274.72528],[311.31378 287.55847 338.6337  ... 212.69865 208.28658 228.24066],[0. 0. 0. ... 0. 0. 0.],0,1,5,44
[0.17345828 0.06120232 0.12774603 ... 0.06917287 0.02115665 0.10290717],[280.14957 265.94446 286.36325 ... 261.08548 249.60257 244.7906 ],[280.14957 265.94446 286.36325 ... 261.08548 249.60257 244.7906 ],[224.57169 211.98573 229.74937 ... 208.47485 197.70615 193.42763],[0. 0. 0. ... 0. 0. 0.],0,1,5,45
[0.20769992 0.02106171 0.28694195 ... 0.09857275 0.15428796 0.22977775],[272.96756 261.01013 325.79642 ... 276.8549  283.58405 299.35815],[304.81357 283.82373 354.8339  ... 306.61017 317.5695  321.97626],[269.34705 249.28265 317.67154 ... 272.60785 283.20782 289.33267],[0.         0.         0.         ... 0.03582627 0.         0.        ],0,1,5,46
[0.12937488 0.12728405 0.2556316  ... 0.06153173 0.18016945 0.12097262],[247.81075 250.54471 295.0112  ... 236.65099 256.59387 231.4768 ],[255.23549 259.30035 300.85666 ... 244.1843  262.93515 239.77815],[208.93349 214.16347 252.61969 ... 198.45337 217.80246 194.3655 ],[0.         0.         0.         ... 0.03204476 0.         0.        ],0,1,5,47
[0.05976109 0.10247317 0.19068396 ... 0.07767542 0.         0.07154962],[260.8393  281.0841  307.65363 ... 258.68015 239.18002 250.84674],[273.7669  288.59122 312.9189  ... 263.93243 243.5473  256.14526],[244.63397 257.64713 280.43146 ... 234.43022 213.76357 227.6902 ],[0. 0. 0. ... 0. 0. 0.],0,1,5,48
[0.21843114 0.13909249 0.20537852 ... 0.1746182  0.03117933 0.11783557],[288.42667 281.0311  308.51556 ... 282.14667 256.09778 251.47556],[288.42667 281.0311  308.51556 ... 282.14667 256.09778 251.47556],[240.6195  233.04095 258.00766 ... 237.38275 207.68611 206.31511],[0. 0. 0. ... 0. 0. 0.],0,1,5,49
[0.15884979 0.2853347  0.0840164  ... 0.26087177 0.02328203 0.08852621],[294.79684 318.75586 295.5049  ... 310.17166 250.03214 249.90958],[313.52917 340.66925 304.45526 ... 321.11285 259.72372 266.33075],[281.91592 310.2431  272.25717 ... 289.52042 230.15019 238.37791],[0. 0. 0. ... 0. 0. 0.],0,1,5,50
[0.17987956 0.         0.16721942 ... 0.21766356 0.00244867 0.07085557],[271.28693 247.16034 294.64136 ... 259.83545 227.17722 233.62447],[271.28693 247.16034 294.64136 ... 259.83545 227.17722 233.62447],[213.54695 190.75754 232.58305 ... 208.0552  171.72758 177.66585],[0. 0. 0. ... 0. 0. 0.],0,1,5,51
[0.35939008 0.34113935 0.07165242 ... 0.16879578 0.2481875  0.2530793 ],[257.68686 292.77777 257.4495  ... 262.4798  274.18182 262.0606 ],[257.68686 292.77777 257.4495  ... 262.4798  274.18182 262.0606 ],[210.58525 246.09146 209.08163 ... 219.27155 229.58571 218.36877],[0. 0. 0. ... 0. 0. 0.],0,1,5,52
[0.19310167 0.09382995 0.09509808 ... 0.12253492 0.         0.12434852],[272.355   264.06018 277.67215 ... 267.64594 243.8754  260.4281 ],[273.48572 266.96    279.66    ... 269.03427 244.96571 262.67715],[235.67747 227.96657 237.90909 ... 231.29004 206.42645 225.76315],[0. 0. 0. ... 0. 0. 0.],0,1,5,53
"[ 0.35425794  0.3805885   0.22193862 ... -0.08984265  0.18620604
  0.29816055]",[276.6765  283.95987 265.89517 ... 201.24348 235.66452 247.64702],[337.05063 345.95886 320.55698 ... 247.18988 284.64874 303.59494],[310.6295  317.42508 293.06512 ... 219.943   258.08963 277.71713],[0.         0.         0.         ... 0.         0.04881427 0.        ],0,1,5,54
[0.15207513 0.18211988 0.18346742 ... 0.00750397 0.09045976 0.05381585],[214.72675 211.21652 228.45464 ... 184.19423 194.55894 187.49768],[264.32156 277.82352 290.63138 ... 237.50589 250.38431 235.36862],[220.94472 233.71352 244.33864 ... 194.46886 208.455   192.08247],[0. 0. 0. ... 0. 0. 0.],0,1,5,55
[0.21648243 0.14752585 0.11442823 ... 0.         0.08148459 0.13913095],[280.3567  265.8059  270.47458 ... 237.54956 240.94328 249.11432],[285.884 274.516 274.276 ... 241.448 245.9   253.348],[250.31479 238.66629 237.95377 ... 208.85172 212.99147 218.19598],[0.         0.         0.         ... 0.         0.01581601 0.        ],0,1,5,56
[0.18074654 0.16614302 0.23979361 ... 0.15509254 0.10712466 0.26143184],[288.97253 290.49805 314.09805 ... 288.24313 260.1451  268.95294],[288.97253 290.49805 314.09805 ... 288.24313 260.1451  268.95294],[240.4251  243.5614  265.65082 ... 244.60498 216.1678  226.17677],[0. 0. 0. ... 0. 0. 0.],0,1,5,57
[0.36092123 0.08820006 0.11097303 ... 0.19119309 0.0882907  0.14184044],[327.65173 284.67587 300.09656 ... 305.00345 272.5345  266.0138 ],[327.65173 284.67587 300.09656 ... 305.00345 272.5345  266.0138 ],[276.0818  231.94304 245.77844 ... 253.47826 222.19234 215.65396],[0. 0. 0. ... 0. 0. 0.],0,1,5,58
[0.08832718 0.17403722 0.2802231  ... 0.14976348 0.06904166 0.15787044],[270.86438 295.27475 321.66342 ... 275.41537 253.84317 269.56784],[279.68155 304.8244  329.17856 ... 282.8869  262.8274  276.8601 ],[233.71625 259.96478 283.36905 ... 241.19005 220.85866 233.09467],[0. 0. 0. ... 0. 0. 0.],0,1,5,59
[0.         0.21050659 0.1988324  ... 0.15087935 0.         0.19021365],[233.88365 283.46652 297.3285  ... 251.27448 226.76796 247.29652],[282.72964 337.4244  348.6686  ... 309.63663 275.55814 299.97092],[206.86311 262.51343 265.58652 ... 237.25444 205.08958 228.91278],[0.         0.         0.03484916 ... 0.         0.         0.        ],0,1,5,60
[0.21525612 0.25861552 0.34213865 ... 0.16033679 0.24318856 0.11679838],[283.29605 301.45065 313.2862  ... 267.39145 278.1875  248.77632],[283.29605 301.45065 313.2862  ... 267.39145 278.1875  248.77632],[228.63849 242.26665 258.69717 ... 213.50127 224.24815 196.46121],[0. 0. 0. ... 0. 0. 0.],0,1,5,61
[0.12825395 0.3550247  0.13634695 ... 0.19375572 0.3188656  0.41245574],[305.3709  364.5036  332.11002 ... 333.60068 351.16953 357.19727],[310.20676 369.7782  340.5376  ... 336.8985  354.59024 360.5451 ],[251.95235 309.56003 275.4624  ... 275.2991  298.56183 300.9979 ],[0.         0.         0.         ... 0.02937343 0.04305857 0.        ],0,1,5,62
"[ 0.17150861  0.1708541  -0.009562   ...  0.08442581  0.11733595
  0.22063702]",[258.28577 268.81555 240.59442 ... 237.98972 231.10149 249.67664],[272.98288 283.69177 252.637   ... 254.12671 245.4178  263.42807],[213.69182 222.5515  191.21025 ... 192.73955 189.25122 203.91093],[0.         0.         0.         ... 0.         0.02427688 0.        ],0,1,5,63
[0.612204   0.3942015  0.4100811  ... 0.11396202 0.2374959  0.10134704],[409.19592 364.16318 374.974   ... 290.14026 300.30023 269.39966],[430.82892 384.4897  394.80237 ... 305.7109  318.38348 283.9351 ],[383.68594 337.20004 346.427   ... 263.75928 277.4475  241.54196],[0. 0. 0. ... 0. 0. 0.],0,1,5,64
[0.25610304 0.32082292 0.45425853 ... 0.01735862 0.08442529 0.22110198],[299.09604 315.32275 342.14664 ... 253.77335 263.10742 275.18024],[352.08728 365.3192  399.02994 ... 292.64838 303.18204 317.8728 ],[253.61499 266.03305 295.8627  ... 199.94994 210.85036 224.11855],[0.         0.         0.         ... 0.         0.03380649 0.        ],0,1,5,65
[0.02107508 0.21453385 0.32115582 ... 0.0685467  0.11050575 0.14690593],[203.85603 255.85527 290.85565 ... 221.02084 223.1682  223.06125],[241.30902 289.47223 319.8125  ... 249.88889 250.95833 252.81598],[215.0333  262.8916  291.40866 ... 225.12973 224.56837 225.68552],[0.03567213 0.         0.         ... 0.         0.         0.        ],0,1,5,66
[0.66893166 0.5751569  0.40520754 ... 0.0864929  0.09994961 0.200551  ],[371.13358 363.70035 339.20938 ... 263.41876 260.7798  266.79422],[371.13358 363.70035 339.20938 ... 263.41876 260.7798  266.79422],[322.5357  317.8734  290.94464 ... 217.08609 215.68372 221.85474],[0.         0.         0.         ... 0.         0.02205636 0.        ],0,1,5,67
[0.24344121 0.22636122 0.25770545 ... 0.17420226 0.         0.23600799],[272.10333 289.29944 318.0729  ... 272.28442 238.34215 283.6932 ],[278.8855  295.69974 323.59286 ... 283.34097 246.4402  288.2748 ],[233.53073 250.68835 275.13818 ... 239.51996 203.14781 247.11162],[0.         0.         0.         ... 0.         0.02329049 0.        ],0,1,5,68
"[ 0.08552574  0.2060179   0.36239994 ...  0.28047895 -0.01835189
  0.15879086]",[299.41766 322.89172 367.76212 ... 323.40643 264.30283 280.18256],[314.91467 335.46075 378.30035 ... 334.69965 275.69284 292.7577 ],[238.3788  264.73322 296.5683  ... 263.36633 203.80649 221.52269],[0. 0. 0. ... 0. 0. 0.],0,1,5,69
[0.23112793 0.15808046 0.43881077 ... 0.1283528  0.1899055  0.18280226],[296.28525 303.2928  346.21622 ... 261.73593 269.0588  249.0099 ],[345.44562 336.09283 396.03183 ... 299.74005 303.8833  290.49603],[279.6896  266.46234 322.9487  ... 241.16429 239.90373 226.80904],[0.         0.01839353 0.         ... 0.02409632 0.         0.        ],0,1,5,70
[0.26866326 0.12021738 0.         ... 0.20247823 0.38200924 0.20114188],[188.86243 201.59972 170.45636 ... 246.15387 248.48178 229.10251],[260.1531  265.4641  245.83253 ... 318.01913 356.14355 302.91867],[227.82547 232.90254 210.90477 ... 287.38538 321.16852 270.64883],[0. 0. 0. ... 0. 0. 0.],0,1,5,71
[0.10379296 0.         0.15331869 ... 0.10181148 0.04942281 0.34083477],[287.11487 280.38647 318.5778  ... 285.01355 269.60455 329.70557],[307.574   302.9603  343.34296 ... 308.33575 285.0397  345.06137],[260.5802  257.5755  292.61835 ... 262.10748 244.9086  302.43704],[0.         0.         0.         ... 0.         0.04278641 0.        ],0,1,5,72
[0.27125084 0.12057608 0.26704577 ... 0.         0.07432516 0.14830524],[230.34633 226.19632 244.00284 ... 193.61461 202.95609 188.07379],[319.09644 290.57858 325.34286 ... 252.45714 267.01428 264.96072],[282.44757 256.35275 287.5065  ... 218.0399  232.42596 229.73605],[0.         0.         0.         ... 0.         0.02470815 0.        ],0,1,5,73
"[ 0.40853596 -0.03771302  0.02834099 ... -0.01437984  0.19443998
  0.0734369 ]",[315.83945 237.25229 252.10092 ... 246.6789  286.5642  244.42201],[315.83945 237.25229 252.10092 ... 246.6789  286.5642  244.42201],[289.69867 212.72536 226.44124 ... 221.34395 260.91537 219.88242],[0.         0.         0.         ... 0.02124748 0.         0.        ],0,1,5,74
"[ 0.19914553  0.03574784  0.28988236 ... -0.05475229  0.04023795
  0.18951568]",[235.79991 242.17323 275.47433 ... 214.69186 221.96233 230.77829],[277.46  285.964 337.628 ... 248.22  260.88  274.84 ],[238.29367 247.44377 299.74594 ... 210.48227 223.39194 235.54291],[0.         0.         0.         ... 0.         0.02454164 0.        ],0,1,5,75
[0.09392223 0.09869733 0.08725005 ... 0.15034842 0.16135536 0.12894024],[241.95422 242.09529 246.09814 ... 248.77786 244.6656  223.02444],[274.0327  283.70328 285.1799  ... 286.68225 277.3598  258.     ],[255.75471 264.1812  265.9135  ... 267.45764 257.935   239.85281],[0. 0. 0. ... 0. 0. 0.],0,1,5,76
"[ 0.2196092   0.12136237  0.22527349 ... -0.0076035   0.16819082
  0.23013131]",[269.86945 257.2117  282.57758 ... 221.06691 254.03116 252.6988 ],[299.9194  286.56717 310.57016 ... 247.8806  282.08954 283.01193],[254.94153 239.77145 266.48993 ... 206.46544 239.44624 240.69539],[0.        0.        0.        ... 0.        0.0257165 0.       ],0,1,5,77
[0.16254665 0.         0.21831462 ... 0.18889104 0.10552308 0.15280886],[295.7993  271.69174 324.54123 ... 307.1828  288.91757 298.1362 ],[295.7993  271.69174 324.54123 ... 307.1828  288.91757 298.1362 ],[248.29929 226.43802 275.32544 ... 263.83713 245.67181 253.54216],[0. 0. 0. ... 0. 0. 0.],0,1,5,78
