stim_name,start_time,stop_time,duration
drifting_gratings_full,52.607017517089844,339.82940673828125,287.2223815917969
drifting_gratings_windowed,342.8486022949219,630.0711669921875,287.2225646972656
locally_sparse_noise,633.09033203125,873.3070678710938,240.21673583984375
spontaneous,874.291259765625,1174.524658203125,300.2333984375
natural_images_12,1177.5438232421875,1329.65380859375,152.1099853515625
natural_movie,1341.680419921875,1792.038818359375,450.3583984375
locally_sparse_noise,1796.0921630859375,2096.208740234375,300.1165771484375
natural_images,2098.310546875,2397.476318359375,299.165771484375
drifting_gratings_windowed,2412.572265625,2699.8115234375,287.2392578125
drifting_gratings_full,2702.83056640625,2990.052978515625,287.222412109375
natural_movie,2995.073974609375,3535.52392578125,540.449951171875
