dff,demixed,raw,neuropil_corrected,events,plane,col,volume,roi
"[ 3.4223292   2.518572    2.7551465  ... -0.09158588  0.5193528
  1.091249  ]",[637.96246 664.1825  717.1562  ... 424.78656 457.42914 465.47223],[711.71576 719.30176 797.38947 ... 464.49475 520.3193  513.6842 ],[428.73236 427.55698 472.48294 ... 169.16235 249.65276 251.41934],[0.         0.         0.04118805 ... 0.         0.14827484 0.        ],1,2,5,78
[1.1405356  0.535854   0.87903535 ... 2.2564623  4.2849636  4.670701  ],[480.0029  423.7137  475.60294 ... 773.45715 993.2556  999.4464 ],[ 552.6275   479.99664  547.77515 ...  831.10065 1086.7953  1094.5302 ],[324.03546 253.30852 301.93832 ... 546.6269  857.04584 881.4653 ],[0.         0.         0.2964885  ... 0.10665933 0.24352989 0.        ],1,2,5,79
[0.35905552 0.18521209 0.61028314 ... 0.11994184 0.00682796 0.7436938 ],[408.95178 392.7486  471.6918  ... 375.4335  369.31287 441.3684 ],[452.70532 438.91788 533.9082  ... 425.1546  407.71014 481.7343 ],[190.8782  186.74716 244.11974 ... 200.34561 177.71696 263.37985],[0.         0.06682619 0.11134854 ... 0.         0.10365193 0.        ],1,2,5,80
[0.18547443 0.5930336  0.32826346 ... 0.3306012  1.0603126  0.56285876],[331.615 386.73  370.35  ... 364.035 458.905 382.135],[331.615 386.73  370.35  ... 364.035 458.905 382.135],[192.87584 247.9546  216.03198 ... 224.22981 321.10147 238.96802],[0.        0.        0.        ... 0.0541491 0.        0.       ],1,2,5,81
[1.110533   0.585356   0.734592   ... 0.20946035 0.         0.7518194 ],[510.16885 476.11185 529.3136  ... 414.60306 388.32675 400.39035],[510.16885 476.11185 529.3136  ... 414.60306 388.32675 400.39035],[212.77676 188.20203 208.9625  ... 176.9302  138.19023 180.51355],[0.         0.         0.07135778 ... 0.         0.10802282 0.        ],1,2,5,82
[0.21680085 0.6406122  0.36560556 ... 0.38920885 0.38987508 0.09600607],[358.94    446.4935  464.5495  ... 415.4167  408.53647 361.0936 ],[387.6635  485.87106 500.92767 ... 457.09747 448.4214  397.7264 ],[180.05219 269.74246 234.1562  ... 248.68694 235.41817 186.89105],[0. 0. 0. ... 0. 0. 0.],1,2,5,83
[1.2260286  0.19502434 0.9302303  ... 0.30162412 1.6263845  0.56507653],[452.89844 364.21094 470.32074 ... 423.1786  519.17194 392.32553],[523.13855 403.25903 546.19275 ... 486.60242 639.6566  454.8253 ],[309.47855 215.97185 321.23776 ... 244.48048 438.2539  276.30054],[0.         0.         0.23587207 ... 0.17108834 0.         0.        ],1,2,5,84
[0.31641263 0.05911221 0.39356172 ... 0.1694516  0.         0.32355085],[329.81778 310.5822  350.32443 ... 325.9511  298.14667 303.8889 ],[329.81778 310.5822  350.32443 ... 325.9511  298.14667 303.8889 ],[152.49512 136.75258 171.30482 ... 163.64194 138.97266 149.84769],[0.         0.         0.14906386 ... 0.         0.0431676  0.        ],1,2,5,85
"[ 0.24697812  0.36748952  0.32356784 ... -0.21230584  0.3425102
  0.22363633]",[233.89078 246.56587 270.5395  ... 216.78004 274.1806  246.42874],[345.13666 374.70807 389.67703 ... 320.7267  388.46585 348.2236 ],[218.63165 260.95532 255.13167 ... 198.43855 269.87268 226.847  ],[0.         0.         0.03054119 ... 0.0438092  0.         0.        ],1,2,5,86
"[ 0.5333303   0.47760057  0.9365373  ... -0.11927717  0.31982484
  0.44329613]",[343.3452  335.07367 403.06213 ... 267.94208 294.45377 312.4814 ],[384.02255 381.06015 451.8233  ... 306.391   341.3684  354.6203 ],[188.97488 187.32883 238.83311 ... 126.60887 161.93515 171.58397],[0.         0.04590579 0.         ... 0.         0.07231258 0.        ],1,2,5,87
[1.0351411  0.37869307 1.0813996  ... 0.10698441 0.3704753  0.727941  ],[441.60345 399.0977  485.8506  ... 361.5977  384.454   403.9138 ],[441.60345 399.0977  485.8506  ... 361.5977  384.454   403.9138 ],[199.27847 162.25606 237.25702 ... 157.89099 167.52922 190.92192],[0.         0.         0.         ... 0.         0.10196141 0.        ],1,2,5,88
[1.1698264  0.9639231  0.91579175 ... 0.09708796 0.15209195 0.06217783],[542.04663 504.13565 521.4192  ... 347.2921  350.57092 325.5109 ],[551.1687  515.80963 532.0048  ... 357.7036  358.4964  339.9783 ],[400.85974 375.34772 368.0992  ... 226.007   230.12627 211.16841],[0.         0.         0.09783222 ... 0.         0.         0.        ],1,2,5,89
"[ 0.34440666  0.01398848  0.30356914 ... -0.07999071  0.23718692
  0.5338804 ]",[361.19748 326.279   377.1348  ... 310.63635 322.1191  357.18808],[361.19748 326.279   377.1348  ... 310.63635 322.1191  357.18808],[175.29555 145.45909 178.71962 ... 139.46207 165.40619 186.6022 ],[0.         0.         0.0865425  ... 0.         0.08392359 0.        ],1,2,5,90
[0.6542075  0.5485884  0.5996583  ... 0.29541087 0.3445526  0.48173693],[428.98544 415.80084 434.09103 ... 386.71246 387.6339  384.86157],[437.29788 420.39148 437.2681  ... 392.25107 391.50638 387.77872],[262.78925 254.98814 263.29257 ... 240.4545  242.38496 239.13927],[0.         0.         0.16954687 ... 0.         0.04490999 0.        ],1,2,5,91
[1.0782231  0.8846085  0.6777593  ... 0.2457274  0.50987774 0.2613731 ],[500.18896 455.66064 464.9966  ... 373.11432 375.011   349.74677],[558.5533  525.2302  536.36084 ... 441.62888 462.79037 404.1409 ],[323.3894  304.7694  296.12018 ... 244.65544 272.8533  225.9077 ],[0.         0.         0.         ... 0.05814334 0.         0.        ],1,2,5,92
[2.324277   1.842226   1.7473503  ... 0.39367917 0.8231574  0.40853792],[625.119   580.1569  600.6496  ... 399.02972 459.3536  394.53598],[642.307   596.1667  610.5702  ... 413.0117  474.54385 406.7807 ],[441.0449  389.5631  379.8176  ... 222.76714 277.90262 212.62213],[0.         0.         0.06822816 ... 0.04001762 0.         0.        ],1,2,5,93
[3.661982   3.2318935  3.5476637  ... 0.00543101 0.3139526  0.4961082 ],[930.9893  910.72174 976.13666 ... 413.92987 425.1849  452.12027],[ 956.4349   941.4238  1002.16895 ...  424.5928   439.00278  465.31302],[711.3414  691.2476  751.81036 ... 209.0072  238.45251 263.71808],[0.         0.05354482 0.18895486 ... 0.         0.07801361 0.        ],1,2,5,94
[0.         0.2787735  0.43923637 ... 0.22147913 0.23669866 0.46494338],[267.81564 303.63412 348.88007 ... 307.01486 292.82062 313.67572],[291.56537 337.7491  379.1166  ... 326.82333 316.03534 340.70673],[155.5368  196.54654 230.72546 ... 195.18437 190.14583 211.10735],[0.03747685 0.         0.         ... 0.         0.04470726 0.        ],1,2,5,95
[0.4918256  0.511284   0.40698823 ... 0.23572144 0.3903492  0.27473405],[401.67313 409.80032 410.33707 ... 361.4582  376.29242 354.4359 ],[402.90244 410.92075 411.62195 ... 362.7073  377.35974 355.4634 ],[318.79886 329.7999  315.7161  ... 290.06543 306.8892  278.96228],[0.         0.         0.         ... 0.05620614 0.         0.        ],1,2,5,96
[0.2861023  0.888901   0.5263931  ... 0.12257931 0.29960153 0.32768553],[316.40628 396.6386  353.6198  ... 289.51166 291.18793 265.83096],[394.4695  482.3689  450.81708 ... 355.42987 363.10672 331.22562],[229.70016 319.24396 268.60095 ... 204.85005 224.4112  198.18352],[0.07613835 0.         0.09781156 ... 0.03719794 0.         0.        ],1,2,5,97
[0.6582572  0.4917451  0.47181544 ... 0.21412288 0.36969978 0.50742793],[516.706   489.77512 529.3487  ... 440.17227 454.92633 460.58975],[517.3295  490.4556  530.8997  ... 440.7106  455.48425 465.48138],[281.99515 258.007   263.02127 ... 234.01845 246.87564 255.98488],[0.       0.       0.       ... 0.       0.060071 0.      ],1,2,5,98
"[ 0.55133456 -0.02559298  0.2799787  ...  0.          0.41187298
  0.49227986]",[381.01514 327.54926 385.95456 ... 317.80682 347.27652 342.0947 ],[381.01514 327.54926 385.95456 ... 317.80682 347.27652 342.0947 ],[233.48354 166.8699  209.2517  ... 164.37018 202.37859 199.19907],[0.         0.         0.         ... 0.         0.05603837 0.        ],1,2,5,99
[0.47194746 0.87511957 0.9866969  ... 0.308111   0.23648883 0.2503488 ],[400.48038 463.84253 513.5167  ... 392.21063 384.5486  369.9686 ],[416.39673 478.80164 527.9212  ... 411.97556 393.38858 389.43207],[264.59045 331.91516 358.72327 ... 273.92465 257.29202 252.80696],[0.0647978  0.04704542 0.         ... 0.         0.         0.        ],1,2,5,100
[1.612215  1.4281868 2.6237216 ... 3.5160055 3.6804614 3.3065681],[454.26144 448.62418 515.8072  ... 642.08826 632.96405 607.86273],[454.26144 448.62418 515.8072  ... 642.08826 632.96405 607.86273],[140.39482 134.36526 193.00345 ... 366.0423  363.47455 335.56125],[0.         0.15202205 0.15785557 ... 0.10409743 0.         0.        ],1,2,5,101
[0.11649093 0.32790366 0.85494524 ... 0.7256765  1.7027444  1.0829332 ],[330.61508 355.2664  457.08725 ... 357.8681  479.40067 384.59747],[374.02142 400.05713 504.95    ... 438.5357  549.1     437.54285],[170.01482 195.58893 282.35196 ... 252.0642  348.7253  251.36006],[0.         0.08839145 0.         ... 0.11415298 0.         0.        ],1,2,5,102
[0.7661697  0.41299662 0.33870062 ... 0.02343218 0.5192092  0.15985522],[368.75937 375.87164 386.8449  ... 320.62033 382.26202 314.6524 ],[368.75937 375.87164 386.8449  ... 320.62033 382.26202 314.6524 ],[226.5822  238.56305 234.3494  ... 187.14447 254.16034 182.00221],[0.         0.         0.         ... 0.06024701 0.         0.        ],1,2,5,103
[0.6855497  0.6843714  0.67763454 ... 0.05835539 0.30695972 0.43762764],[351.26172 382.29507 403.9039  ... 273.5178  297.31378 312.87396],[473.02542 491.50424 511.02542 ... 374.9195  393.1229  404.5339 ],[314.49042 320.78802 331.24036 ... 215.63954 251.98332 254.78513],[0.         0.         0.         ... 0.         0.06129923 0.        ],1,2,5,104
[0.31558222 0.2599773  0.39989224 ... 0.22487603 0.17824993 0.15852983],[379.34268 365.40448 395.27527 ... 363.46628 345.71912 338.09552],[379.34268 365.40448 395.27527 ... 363.46628 345.71912 338.09552],[241.17827 235.90842 260.75092 ... 247.87822 230.61263 216.54582],[0. 0. 0. ... 0. 0. 0.],1,2,5,105
[1.967504   0.5570408  0.6059317  ... 0.57766145 1.2181683  1.0389014 ],[436.39572 368.96255 425.20322 ... 386.17648 410.4599  395.88235],[436.39572 368.96255 425.20322 ... 386.17648 410.4599  395.88235],[206.27322 131.61185 160.44736 ... 173.33421 198.25423 171.51413],[0.         0.         0.         ... 0.18207216 0.         0.        ],1,2,5,106
"[ 0.57972294  0.44409174  0.5256421  ... -0.26211143  0.3135694
  0.9820619 ]",[451.1431  446.67282 502.33914 ... 342.95554 418.03104 428.53244],[476.6743  482.16287 534.98285 ... 381.21143 453.87714 461.04285],[222.05255 211.7388  223.633   ... 129.6609  195.50095 218.22784],[0.         0.         0.03263664 ... 0.         0.13808082 0.        ],1,2,5,107
[0.8099369  0.48002383 0.13005595 ... 0.40797007 0.32780182 0.3258245 ],[503.0947  453.13388 436.93246 ... 433.98633 405.9525  380.069  ],[523.81036 481.0819  462.35345 ... 446.98276 432.2845  402.11206],[336.52133 285.04208 233.2449  ... 277.47836 248.75266 229.89734],[0.         0.         0.06407288 ... 0.         0.         0.        ],1,2,5,108
[0.5130072  0.21997964 0.42064866 ... 0.34532908 0.32594877 0.8442897 ],[405.48267 364.99286 406.1793  ... 355.25717 363.61804 420.3128 ],[431.57895 386.76315 437.67105 ... 384.76315 384.1842  459.41446],[290.4134  248.74258 281.6126  ... 268.42926 258.0461  335.09747],[0.         0.         0.08424727 ... 0.         0.07971918 0.        ],1,2,5,109
[0.86143506 0.45511973 0.42502043 ... 0.36631978 0.28482583 0.78595585],[418.3664  424.32758 461.6336  ... 412.2155  388.68967 410.8793 ],[418.3664  424.32758 461.6336  ... 412.2155  388.68967 410.8793 ],[190.22354 197.42316 196.44003 ... 190.38008 164.93942 187.7826 ],[0.         0.         0.         ... 0.         0.08893419 0.        ],1,2,5,110
[0.20223701 0.4846201  0.28373355 ... 0.06104527 0.6169748  0.46728396],[384.5885  420.3353  414.56015 ... 330.76746 399.86084 354.8281 ],[402.7545  450.13773 436.8533  ... 353.96408 429.6048  379.8024 ],[248.28264 296.93732 264.94373 ... 221.34639 293.6838  250.81812],[0.         0.         0.02696993 ... 0.10140002 0.         0.        ],1,2,5,111
[0.         0.41190776 0.44308898 ... 0.21270806 0.13896534 0.6170117 ],[275.52777 378.24207 395.7738  ... 354.1508  330.51587 346.91666],[275.52777 378.24207 395.7738  ... 354.1508  330.51587 346.91666],[118.1391  214.52121 222.42409 ... 205.8263  189.34889 199.1257 ],[0.         0.         0.09288452 ... 0.         0.08825344 0.        ],1,2,5,112
[1.2635634  0.98350245 1.303185   ... 0.18806574 0.3832162  0.8443468 ],[506.78033 480.4971  546.9364  ... 364.99423 381.38727 394.7052 ],[506.78033 480.4971  546.9364  ... 364.99423 381.38727 394.7052 ],[297.98572 274.01572 322.88635 ... 176.89687 199.20064 208.39104],[0.         0.04690469 0.         ... 0.         0.10630871 0.        ],1,2,5,113
[0.9173705  0.5903613  0.6076545  ... 0.31469095 0.5108211  0.2842622 ],[503.48077 466.4072  520.0789  ... 419.72534 459.66168 415.8777 ],[545.70776 514.25    576.1761  ... 454.9331  503.92255 449.28168],[319.06235 282.433   292.3241  ... 262.26892 291.23047 241.66154],[0.         0.         0.09695165 ... 0.06317361 0.         0.        ],1,2,5,114
[0.26431456 0.35102835 0.5978658  ... 0.47695935 0.47157845 0.47486106],[334.4158  344.14737 389.45264 ... 337.4579  331.57367 321.92105],[334.4158  344.14737 389.45264 ... 337.4579  331.57367 321.92105],[150.34308 170.54355 198.88101 ... 165.47797 163.85754 155.89929],[0.        0.        0.2540552 ... 0.        0.        0.       ],1,2,5,115
[0.7341973  0.553052   0.27870846 ... 0.21061227 0.23342156 0.6807455 ],[404.50247 401.7332  370.53262 ... 375.2684  334.53568 390.85358],[451.1164  431.39682 398.81482 ... 388.28043 364.9312  417.44446],[328.12476 307.01477 261.78723 ... 268.41696 255.25816 303.67902],[0.         0.         0.         ... 0.         0.06167082 0.        ],1,2,5,116
[0.53787416 0.5373342  0.57761204 ... 0.3162797  0.32636723 0.24726461],[416.81625 428.16666 451.31195 ... 384.5812  377.03845 372.6581 ],[416.81625 428.16666 451.31195 ... 384.5812  377.03845 372.6581 ],[215.84496 224.15256 238.49342 ... 208.57826 206.95612 194.86356],[0.         0.         0.04979398 ... 0.         0.         0.        ],1,2,5,117
"[ 0.6360555   0.45071018  0.9849604  ... -0.18179381  0.22915736
  0.18179381]",[359.36795 368.14316 419.00174 ... 281.1606  302.8698  277.4873 ],[404.0037  401.72592 478.47406 ... 309.8111  336.97406 316.54816],[198.31151  189.32988  247.11443  ... 116.002144 152.41028  122.75957 ],[0.         0.         0.10486115 ... 0.         0.         0.        ],1,2,5,118
[0.34709692 0.05782342 0.6417579  ... 0.28277516 0.22098559 0.45819065],[392.19186 357.4971  469.36337 ... 368.18604 349.61917 384.0814 ],[392.19186 357.4971  469.36337 ... 368.18604 349.61917 384.0814 ],[209.13046 178.51062 267.81995 ... 215.18285 202.24417 231.10005],[0.         0.07571253 0.         ... 0.         0.06135289 0.        ],1,2,5,119
[0.6573006  0.6640094  0.6646666  ... 0.5297022  0.4677776  0.47891855],[371.38358 380.62314 404.4312  ... 380.57706 349.89453 332.7076 ],[479.8893  470.83395 505.49448 ... 464.5166  427.1956  407.2583 ],[332.67636 336.76114 351.60593 ... 328.61523 298.29596 283.85272],[0. 0. 0. ... 0. 0. 0.],1,2,5,120
[0.48195928 0.5354202  0.7317724  ... 0.14354931 0.32714754 0.01263273],[409.25    417.15833 476.8375  ... 357.62918 385.23334 319.1125 ],[409.25    417.15833 476.8375  ... 357.62918 385.23334 319.1125 ],[294.64243 305.44196 349.21548 ... 246.10976 273.483   205.16118],[0.         0.         0.06321251 ... 0.02651341 0.         0.        ],1,2,5,121
"[ 0.36661687  0.6719909   0.7273564  ... -0.12813073  0.6025998
  0.8242932 ]",[422.5985  467.91327 519.75323 ... 324.973   417.2697  405.63364],[435.1748  492.15854 539.05286 ... 345.86584 433.45123 427.3252 ],[234.35222 295.72144 314.8099  ... 177.40508 258.55286 249.19984],[0.         0.06668589 0.         ... 0.         0.14611194 0.        ],1,2,5,122
[1.2661805  1.0992405  2.0885391  ... 0.18335597 0.30336055 0.4128882 ],[587.6392  581.72144 751.97845 ... 398.5896  410.86673 403.43542],[592.5214  583.8786  762.1857  ... 400.67142 414.35358 406.44644],[375.78275 371.62918 528.7007  ... 232.58339 239.00485 231.88245],[0.         0.14982711 0.12328694 ... 0.06110623 0.         0.        ],1,2,5,123
"[ 1.0243094   1.1794523   0.69159263 ... -0.12740421  0.36415908
  1.402561  ]",[446.02908 478.9244  470.1279  ... 326.3721  362.5756  453.23254],[446.02908 478.9244  470.1279  ... 326.3721  362.5756  453.23254],[224.60413 258.17914 212.73137 ... 119.52605 153.85052 241.74146],[0.         0.         0.         ... 0.         0.23637758 0.        ],1,2,5,124
[0.5105259  0.07419158 0.40361032 ... 0.1406116  0.7436822  0.47556084],[398.5732  368.95816 433.17572 ... 382.41003 429.87448 378.70712],[398.5732  368.95816 433.17572 ... 382.41003 429.87448 378.70712],[191.9679  157.42233 204.83229 ... 178.55649 231.26788 190.0774 ],[0.         0.         0.04876043 ... 0.09201504 0.         0.        ],1,2,5,125
[0.61533237 0.9582713  1.6560565  ... 0.02439035 0.5590884  1.0381086 ],[476.52298 521.1338  609.7637  ... 383.47125 426.41818 422.4982 ],[487.16895 531.9155  627.33514 ... 395.2316  439.46323 431.29428],[199.67314 236.81819 312.14917 ... 148.22823 192.95901 185.73038],[0.         0.20611586 0.         ... 0.0740537  0.10791819 0.        ],1,2,5,126
[0.40521133 0.20064    0.08702325 ... 0.11739966 0.13633342 0.43672544],[366.74875 354.9135  365.6377  ... 324.92526 320.96838 327.96094],[396.45047 378.0767  398.08627 ... 350.1981  347.71884 358.1374 ],[181.0935  162.59343 163.32996 ... 159.27509 148.46562 157.10658],[0.         0.         0.         ... 0.         0.05404937 0.        ],1,2,5,127
[0.7116014  0.31868738 0.6948355  ... 0.1846774  0.62058383 0.44443393],[425.14966 385.67218 454.2642  ... 352.58472 379.36807 329.41672],[427.54938 387.55246 454.78085 ... 352.9074  379.69754 329.80246],[255.07018 218.58923 280.25186 ... 198.99716 237.22005 188.6912 ],[0.         0.         0.07929579 ... 0.06104762 0.         0.        ],1,2,5,128
[0.44765225 0.41566613 0.7405397  ... 0.3228091  0.13867365 0.06497534],[403.2366  409.78174 471.23077 ... 388.68442 362.49335 339.22134],[406.79404 417.8388  477.20297 ... 394.2418  369.48956 344.69254],[225.74892 223.08357 270.9291  ... 230.12096 201.06932 177.95908],[0.         0.06213398 0.0735254  ... 0.         0.         0.        ],1,2,5,129
[0.45946056 0.97202235 0.691876   ... 0.07532082 0.26331398 0.16112238],[382.7397  464.48505 442.62524 ... 329.41913 354.46075 335.07135],[383.3517  465.16898 443.32068 ... 331.51035 358.2931  336.78964],[261.22516 348.38803 306.7985  ... 224.72473 250.90779 225.4881 ],[0.07125775 0.         0.         ... 0.02961996 0.         0.        ],1,2,5,130
[0.0978313  0.78519213 0.4698444  ... 0.         0.4686832  0.5621298 ],[363.07144 451.69232 450.1099  ... 343.45056 398.47803 386.62637],[363.07144 451.69232 450.1099  ... 343.45056 398.47803 386.62637],[162.21179 246.16212 214.69698 ... 158.34795 207.60938 195.63979],[0.06470229 0.         0.12576793 ... 0.09565219 0.         0.        ],1,2,5,131
[1.7705101  1.2049618  1.1899022  ... 0.14939016 0.44582343 0.29598063],[516.25073 435.81082 464.4321  ... 266.5052  300.381   267.0073 ],[664.5246  579.11475 613.3484  ... 403.84836 424.16803 384.291  ],[462.01215 383.8416  398.4996  ... 222.138   249.57845 212.26591],[0.         0.         0.         ... 0.05349243 0.         0.        ],1,2,5,132
[0.4332475  0.3427612  0.25188464 ... 0.34911007 0.18671215 0.22181611],[357.80978 393.8913  418.11957 ... 356.5435  338.56522 310.9565 ],[357.80978 393.8913  418.11957 ... 356.5435  338.56522 310.9565 ],[154.74745 194.13635 184.5866  ... 185.29114 164.88148 135.20718],[0. 0. 0. ... 0. 0. 0.],1,2,5,133
[0.9344496  0.642821   0.9504192  ... 0.24971963 0.48139727 0.96680015],[442.51352 415.81467 477.82626 ... 359.50192 359.1197  400.98068],[442.51352 415.81467 477.82626 ... 359.50192 359.1197  400.98068],[270.00974 245.08633 290.47375 ... 203.59515 209.1591  241.96094],[0.         0.         0.07897376 ... 0.         0.12236997 0.        ],1,2,5,134
[0.59264296 0.5205982  0.6454235  ... 0.11602703 0.28001934 0.26979554],[497.4     495.30768 551.0487  ... 456.49487 455.9436  430.3846 ],[497.4     495.30768 551.0487  ... 456.49487 455.9436  430.3846 ],[228.24167 223.20477 240.47061 ... 190.1393  206.21031 198.82248],[0.         0.         0.         ... 0.03742605 0.         0.        ],1,2,5,135
[0.47755995 0.43011978 0.545104   ... 0.3314172  0.29003894 0.21810293],[364.1531  352.22    381.93457 ... 318.37457 308.61447 281.26303],[381.96362 373.1182  406.9909  ... 337.45456 326.22272 301.4091 ],[234.75612 231.34525 249.72163 ... 209.21011 198.0345  173.84476],[0. 0. 0. ... 0. 0. 0.],1,2,5,136
[0.81054634 0.46579152 0.4954766  ... 0.01478067 0.05258197 0.6093323 ],[393.3053  357.79202 379.19913 ... 317.2699  319.92035 332.02655],[393.3053  357.79202 379.19913 ... 317.2699  319.92035 332.02655],[215.74976 182.6305  186.45642 ... 142.25272 144.6428  161.41527],[0.         0.         0.         ... 0.         0.09518003 0.        ],1,2,5,137
[1.3709192 1.5453182 0.4076691 ... 1.0417613 1.2516963 0.7171146],[493.79132 516.6445  409.13785 ... 452.20175 460.67242 378.25287],[598.05304 611.1667  500.0303  ... 520.88635 540.1591  435.78787],[356.62994 394.86758 250.97672 ... 320.9793  341.99115 245.29564],[0. 0. 0. ... 0. 0. 0.],1,2,5,138
"[ 0.7564333   0.17578168  0.6007387  ... -0.00237164  0.08558474
  0.20816472]",[478.15643 430.67877 506.59778 ... 368.64246 376.22906 364.73743],[478.15643 430.67877 506.59778 ... 368.64246 376.22906 364.73743],[275.16946 211.8525  276.3916  ... 177.7012  188.78584 196.3066 ],[0.         0.         0.06175905 ... 0.         0.         0.        ],1,2,5,139
[0.38084474 0.29307997 0.8459975  ... 0.25969908 0.6252148  0.06956955],[414.79852 405.1447  507.37433 ... 386.8864  428.18283 322.31433],[432.68167 418.5946  534.3874  ... 400.83182 442.14413 339.0961 ],[243.6274  242.98329 334.32697 ... 238.64287 287.4626  179.00793],[0.         0.07973532 0.         ... 0.04491566 0.         0.        ],1,2,5,140
[0.18668973 0.4811137  0.44274858 ... 0.22839813 0.3813625  0.29131117],[312.20456 346.95456 369.38257 ... 307.26514 305.16666 290.26895],[312.20456 346.95456 369.38257 ... 307.26514 305.16666 290.26895],[162.65363 201.52518 198.4321  ... 162.68787 166.87338 150.5845 ],[0.         0.         0.04677989 ... 0.         0.         0.        ],1,2,5,141
[0.941017   0.5382566  0.7351047  ... 0.20707488 0.3749345  0.76652825],[535.3773  475.3461  560.35565 ... 396.45096 412.58337 466.63092],[554.5088  488.7544  584.49414 ... 410.05847 427.03217 478.09064],[377.5433  309.79257 371.47058 ... 257.75186 272.2414  315.17035],[0.         0.         0.04979367 ... 0.         0.09749693 0.        ],1,2,5,142
[0.7249537 0.321418  0.7942548 ... 0.4038077 1.0199182 1.5092413],[545.2248 477.732  566.9712 ... 455.0317 533.     574.0576],[545.2248 477.732  566.9712 ... 455.0317 533.     574.0576],[334.5292  269.93317 357.34088 ... 269.9652  354.25137 407.1724 ],[0.         0.05793517 0.05804249 ... 0.09900323 0.13425067 0.        ],1,2,5,143
[1.4713643  1.7750429  1.2931828  ... 0.49357727 0.48141092 0.68395025],[504.04388 549.62067 512.2853  ... 386.2163  382.47336 391.7555 ],[504.04388 549.62067 512.2853  ... 386.2163  382.47336 391.7555 ],[314.68387 358.45648 305.46683 ... 214.11476 210.90555 225.2377 ],[0.        0.        0.        ... 0.        0.0571752 0.       ],1,2,5,144
[0.2681764  0.17971586 0.11182721 ... 0.01717185 0.33061677 0.22538444],[357.32803 354.68774 355.864   ... 315.32425 357.99448 330.57443],[391.51562 391.14584 395.84897 ... 357.83853 398.97916 369.78647],[222.88261 211.04872 201.37123 ... 193.93387 243.559   217.6439 ],[0.         0.         0.04608449 ... 0.05033869 0.         0.        ],1,2,5,145
"[ 0.33791062  0.29882357  0.60594386 ...  0.21230212 -0.02590152
  0.21726666]",[400.38824 403.59155 455.94077 ... 351.36462 333.21854 342.42148],[404.72852 407.45016 460.3402  ... 354.4983  336.09622 348.8969 ],[199.70589 200.61124 239.5401  ... 187.95985 156.55782 168.27827],[0.         0.         0.09375487 ... 0.         0.         0.        ],1,2,5,146
[0.76847506 0.27219233 0.51769185 ... 0.24611677 0.13559784 0.27172044],[397.57944 348.52805 388.8318  ... 332.40186 304.36447 322.8458 ],[397.57944 348.52805 388.8318  ... 332.40186 304.36447 322.8458 ],[240.98174 185.13628 221.88152 ... 186.04153 167.76823 180.96579],[0. 0. 0. ... 0. 0. 0.],1,2,5,147
[4.5254703  3.2736669  2.9469416  ... 0.2057703  0.15958123 0.12622349],[913.6805  771.1153  785.12244 ... 344.97388 337.20428 322.19406],[1041.7745   918.31036  921.8064  ...  416.33688  402.21484  397.8037 ],[819.6144  691.24097 659.2496  ... 227.75746 216.7437  208.5238 ],[0.         0.         0.11209032 ... 0.         0.         0.        ],1,2,5,148
[0.93167555 0.25744265 0.5498124  ... 0.3438303  0.44249877 0.3791191 ],[390.25806 326.97418 367.74194 ... 325.86774 332.52582 315.2742 ],[390.25806 326.97418 367.74194 ... 325.86774 332.52582 315.2742 ],[215.86969 154.12564 187.57983 ... 161.15825 165.55174 153.98853],[0.         0.         0.         ... 0.06299854 0.         0.        ],1,2,5,149
[0.5188918  0.7504005  0.7318202  ... 0.16428043 0.41081658 0.7996866 ],[433.4257  460.38852 496.31082 ... 391.66553 396.14526 409.35135],[433.4257  460.38852 496.31082 ... 391.66553 396.14526 409.35135],[200.56789 234.19064 235.89093 ... 171.91666 189.46744 209.8566 ],[0.         0.         0.0838771  ... 0.         0.11149568 0.        ],1,2,5,150
"[ 6.1633688e-01 -4.9092947e-04  1.0256939e+00 ...  2.0766990e-01
  6.2270468e-01  2.7411219e-01]",[404.20233 346.64722 473.59427 ... 351.62726 405.50827 356.15045],[478.3538  411.75146 552.7281  ... 413.46198 468.0497  422.8041 ],[230.85399 165.64789 307.46872 ... 214.44083 271.27405 215.72377],[0.         0.08280768 0.         ... 0.04119465 0.         0.        ],1,2,5,151
[0.28421152 0.3968994  0.21021801 ... 0.18339254 0.16177511 0.40501207],[291.62253 299.2073  298.24878 ... 268.36603 265.23553 255.28693],[351.13077 356.7077  347.71924 ... 316.2154  313.55768 297.01154],[176.3922  191.73198 173.71161 ... 164.56871 159.78912 144.3901 ],[0.         0.         0.         ... 0.         0.04374461 0.        ],1,2,5,152
[0.34922898 0.63967466 0.44405276 ... 0.15573137 0.98810494 0.6521957 ],[422.18936 467.9349  463.49704 ... 364.28995 451.8935  373.97632],[422.18936 467.9349  463.49704 ... 364.28995 451.8935  373.97632],[227.11887 272.65533 250.92487 ... 202.75961 287.5078  223.95934],[0.         0.         0.         ... 0.15234062 0.         0.        ],1,2,5,153
[1.088991   0.6575046  1.2846326  ... 0.3198909  0.21326919 0.35144952],[503.99362 446.80893 555.1847  ... 405.40128 401.85352 403.26752],[503.99362 446.80893 555.1847  ... 405.40128 401.85352 403.26752],[281.17868 236.55177 315.82272 ... 227.54819 201.05858 203.8347 ],[0.         0.10884614 0.         ... 0.         0.         0.        ],1,2,5,154
