stim_name,start_time,stop_time,duration
drifting_gratings_full,54.634429931640625,341.85687255859375,287.2224426269531
drifting_gratings_windowed,344.87603759765625,632.0985717773438,287.2225341796875
locally_sparse_noise,635.1177368164062,875.3344116210938,240.2166748046875
spontaneous,876.318603515625,1176.552001953125,300.2333984375
natural_images_12,1179.5711669921875,1331.68115234375,152.1099853515625
natural_movie,1343.707763671875,1794.066162109375,450.3583984375
locally_sparse_noise,1798.1195068359375,2098.236083984375,300.1165771484375
natural_images,2100.337890625,2399.503662109375,299.165771484375
drifting_gratings_windowed,2414.599609375,2701.822021484375,287.222412109375
drifting_gratings_full,2704.84130859375,2992.063720703125,287.222412109375
natural_movie,2997.08447265625,3537.517822265625,540.433349609375
