stim_name,start_time,stop_time,duration
drifting_gratings_full,51.88185119628906,339.10418701171875,287.22235107421875
drifting_gratings_windowed,342.12335205078125,629.3458251953125,287.22247314453125
locally_sparse_noise,632.364990234375,872.5816650390625,240.2166748046875
spontaneous,873.5657958984375,1173.799072265625,300.2332763671875
natural_images_12,1176.8182373046875,1328.92822265625,152.1099853515625
natural_movie,1340.954833984375,1791.3131103515625,450.3582763671875
locally_sparse_noise,1795.366455078125,2095.48291015625,300.116455078125
natural_images,2097.584716796875,2396.75048828125,299.165771484375
drifting_gratings_windowed,2411.84619140625,2699.068603515625,287.222412109375
drifting_gratings_full,2702.087890625,2989.310302734375,287.222412109375
natural_movie,2994.3310546875,3534.76416015625,540.43310546875
